// ~->[CASE-1]->~
DiaSemana   Hora   Appliance
Sabado   vinteDois   Fan
Sabado   vinteDois   Fan
Sexta   doze   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Sexta   doze   Fan
Sabado   vinteTres   Fan
Sexta   doze   Fan
Domingo   um   Fridge
Domingo   um   Fridge
Domingo   dois   Fridge
Domingo   tres   Fridge
Domingo   tres   Fridge
Domingo   quatro   Fridge
Domingo   cinco   Fridge
Domingo   cinco   Fridge
Domingo   seis   Fridge
Domingo   seis   Fridge
Domingo   sete   Fridge
Domingo   oito   Fridge
Domingo   dez   Fridge
Sexta   doze   Fridge
Domingo   dez   Shower
Sexta   doze   Fridge
Sexta   doze   Fridge
Sexta   doze   Fridge
Sexta   doze   Fridge
Domingo   onze   Shower
Domingo   onze   Fan
Domingo   onze   Shower
Domingo   onze   Fan
Domingo   doze   Fridge
Domingo   treze   Fridge
Domingo   treze   Fridge
Domingo   treze   Fridge
Domingo   treze   Fan
Domingo   quatorze   Fan
Domingo   quatorze   Fridge
Domingo   dezessete   Fridge
Domingo   dezessete   Fridge
Domingo   dezoito   Fridge
Domingo   dezenove   Fridge
Domingo   dezenove   Fridge
Domingo   vinte   Fridge
Domingo   vinteDois   Fridge
Sexta   doze   Fridge
Sexta   doze   Fridge
Domingo   vinteDois   Fan
Sexta   doze   Fridge
Sexta   doze   Fan
Domingo   vinteDois   Fridge
Domingo   vinteDois   Fridge
Domingo   vinteDois   Fan
Domingo   vinteDois   Fan
Domingo   vinteTres   Fan
Domingo   vinteTres   Fridge
Segunda   zero   Fridge
Segunda   zero   Fridge
Segunda   um   Fridge
Segunda   dois   Fridge
Segunda   dois   Fridge
Segunda   tres   Fridge
Segunda   sete   Fridge
Segunda   oito   Fridge
Sexta   doze   Fan
Segunda   nove   Shower
Segunda   nove   Shower
Segunda   nove   Shower
Segunda   nove   Shower
Segunda   nove   Fan
Segunda   nove   Shower
Sexta   doze   Fridge
Segunda   nove   Fan
Segunda   nove   Fan
Segunda   nove   Fan
Segunda   dez   Fan
Segunda   dez   Fan
Sexta   doze   Fan
Segunda   onze   Fan
Segunda   doze   Fridge
Segunda   doze   Fridge
Segunda   treze   Fridge
Sexta   doze   Fridge
Segunda   quinze   Fridge
Segunda   quinze   Fridge
Sexta   doze   Fridge
Segunda   quinze   Fridge
Segunda   dezesseis   Fan
Sexta   doze   Fridge
Sexta   doze   Fan
Sexta   doze   Fridge
Segunda   dezesseis   Fridge
Segunda   dezessete   Fridge
Segunda   dezoito   Shower
Segunda   dezoito   Fan
Sexta   doze   Fridge
Sexta   doze   Fridge
Segunda   dezenove   Fridge
Segunda   vinte   Fridge
Segunda   vinteUm   Shower
Segunda   vinteUm   Fan
Segunda   vinteUm   Fan
Segunda   vinteUm   Fridge
Sexta   doze   Fridge
Segunda   vinteDois   Fan
Segunda   vinteDois   Fan
Segunda   vinteDois   Shower
Segunda   vinteDois   Fan
Segunda   vinteDois   Fridge
Segunda   vinteDois   Shower
Sexta   doze   Fridge
Segunda   vinteDois   Shower
Segunda   vinteDois   Fan
Segunda   vinteTres   Fridge
Terca   zero   Shower
Terca   zero   Shower
Terca   zero   Fan
Terca   zero   Fan
Terca   zero   Fan
Terca   seis   Fridge
Terca   sete   Fridge
Terca   oito   Fridge
Terca   oito   Shower
Terca   nove   Fridge
Terca   nove   Shower
Terca   nove   Fan
Terca   nove   Shower
Terca   nove   Fridge
Terca   dez   Shower
Terca   dez   Fan
Terca   dez   Fan
Terca   dez   Shower
Sexta   doze   Fan
Sexta   doze   Fan
Sexta   doze   Fan
Sexta   doze   Fan
Terca   dez   Fridge
Terca   onze   Shower
Terca   onze   Fan
Terca   onze   Fridge
Terca   treze   Shower
Terca   quinze   Fridge
Terca   quinze   Shower
Terca   quinze   Fan
Terca   quinze   Fan
Terca   quinze   Fridge
Sexta   doze   Fan
Sexta   doze   Fridge
Terca   dezesseis   Fridge
Sexta   doze   Fan
Sexta   doze   Fridge
Terca   dezesseis   Fan
Terca   dezessete   Fridge
Terca   dezessete   Shower
Terca   dezoito   Fridge
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Terca   dezenove   Fridge
Terca   vinteUm   Fridge
Terca   vinteDois   Fan
Terca   vinteDois   Fan
Terca   vinteTres   Fridge
Quarta   zero   Shower
Quarta   zero   Fridge
Quarta   um   Fan
Quarta   um   Fan
Quarta   tres   Fan
Quarta   tres   Fan
Quarta   tres   Fridge
Quarta   cinco   Fridge
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fridge
Quarta   sete   Fridge
Quarta   oito   Fridge
Quarta   oito   Fan
Quarta   nove   Shower
Quarta   nove   Fridge
Quarta   nove   Shower
Quarta   nove   Fan
Quarta   nove   Shower
Quarta   nove   Fan
Quarta   dez   Fan
Quarta   dez   Fridge
Quarta   dez   Fan
Quarta   dez   Shower
Quarta   dez   Fan
Sexta   onze   Fridge
Sexta   onze   Fridge
Quarta   onze   Fan
Quarta   onze   Fridge
Quarta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fridge
Sexta   onze   Fan
Quarta   doze   Fan
Quarta   doze   Fan
Quarta   doze   Fan
Quarta   doze   Fan
Quarta   treze   Shower
Quarta   treze   Shower
Quarta   quatorze   Fridge
Quarta   quatorze   Shower
Quarta   quinze   Shower
Quarta   quinze   Fan
Quarta   quinze   Fan
Quarta   quinze   Shower
Sexta   onze   Fridge
Quarta   dezesseis   Fan
Quarta   dezesseis   Shower
Quarta   dezesseis   Shower
Quarta   dezessete   Fridge
Quarta   dezessete   Shower
Quarta   dezessete   Fan
Quarta   dezessete   Fridge
Quarta   dezoito   Fridge
Quarta   dezenove   Fridge
Sexta   onze   Fan
Quarta   dezenove   Fridge
Quarta   dezenove   Fridge
Quarta   dezenove   Fridge
Quarta   dezenove   Fridge
Sexta   onze   Fan
Quarta   vinte   Shower
Sexta   onze   Fan
Sexta   onze   Fan
Quarta   vinte   Fan
Sexta   onze   Fan
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
Sexta   onze   Fridge
Sexta   onze   Fan
